trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,recommended_holding_days,holding_rule,entry_quality_score,crowding_score,entry_quality_delta,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,300683,海特生物,buy_passed,buy,A,99.0,0.582,1.94,,,,,20260812,30.22,29.88,30.6,,-1.1251,1.2574,,4.8312,-3.4745,-3.4745,46.0,89.83,82.0,60.0,64.0,57.0,62.0,65.0,48.08,70.0,13.0,5.07,True,False,10.0,0.0,85.47,15.0,3,T+3_ok,,,,99.0,,,,,ok,63.8,27.6,28.1,27.5,27.09,1.65,1.78,1.03,28.7,,33.09,33.9,27.6,30.65,28.56,-6.83,33.09,33.9,1.16,True,True,,momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,603456,九洲药业,buy_passed,buy,A,99.5,0.6556,2.436,,,,,20260812,16.6,16.83,17.52,,1.3855,5.5422,,11.506,-0.4819,-0.4819,70.0,100.0,82.0,60.0,60.0,57.0,62.0,68.0,55.52,70.0,10.7,1.76,True,False,10.0,0.0,88.21,15.0,3,T+3_ok,,,,99.5,,,,,ok,63.1,15.41,15.87,15.54,15.2,1.35,1.43,1.29,15.1,,17.86,18.22,15.41,16.8,15.02,-10.57,17.86,18.22,0.6,False,False,['rr_below_1.0'],momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,300404,博济医药,buy_passed,buy,A,95.0,0.6004,2.24,,,,,20260812,11.7,12.04,17.34,,2.906,48.2051,,48.2051,-0.6838,-0.6838,76.0,100.0,82.0,60.0,60.0,57.0,62.0,65.0,53.32,70.0,18.9,4.99,True,False,10.0,0.0,84.24,15.0,3,T+3_ok,,,,95.0,,,,,ok,73.5,10.17,10.57,10.25,9.99,1.54,1.73,1.3,11.05,,12.71,13.02,10.17,11.79,11.0,-6.72,12.71,13.02,1.16,True,False,['rsi_above_70.0'],momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,300759,康龙化成,buy_passed,buy,A,95.0,0.6004,2.349,,,,,20260812,47.55,47.9,49.12,,0.7361,3.3018,,7.8864,-1.9138,-1.9138,100.0,100.0,82.0,60.0,60.0,57.0,62.0,65.0,57.82,70.0,20.4,1.19,True,False,10.0,0.0,84.46,15.0,3,T+3_ok,,,,95.0,,,,,ok,71.8,39.99,42.9,41.14,39.05,1.25,1.41,1.03,44.16,,51.88,53.31,39.99,47.59,43.94,-7.67,51.88,53.31,1.17,True,False,['rsi_above_70.0'],momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,603535,XD嘉诚国,consensus,,,,,,,,,,20260812,6.49,6.56,6.46,,1.0786,-0.4622,,4.7766,-2.4653,-2.4653,16.0,51.65,74.0,,,,,,,,4.4,0.0,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,601607,上海医药,consensus,,,,,,,,,,20260812,16.65,16.56,16.59,,-0.5405,-0.3604,,1.3213,-2.1021,-2.1021,76.0,67.68,50.0,,,,,,,,0.3,-0.18,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,002432,九安医疗,consensus,,,,,,,,,,20260812,70.93,71.72,73.21,,1.1138,3.2144,,7.3594,-0.141,-0.141,46.0,89.96,50.0,,,,,,,,-0.2,-2.05,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,000422,湖北宜化,consensus,,,,,,,,,,20260812,12.95,13.0,12.71,,0.3861,-1.8533,,2.2394,-2.7027,-2.7027,16.0,58.8,82.0,,,,,,,,2.1,-1.98,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,603296,华勤技术,consensus,,,,,,,,,,20260812,79.86,79.02,85.96,,-1.0518,7.6384,,10.3181,-2.4793,-2.4793,100.0,65.62,26.0,,,,,,,,-0.9,-0.97,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-12 18:00:00,20260812,2026-08-12_18-00-00.json,603087,甘李药业,buy_passed,buy,A,87.0,0.6096,2.496,,,,,20260813,74.7,77.48,,,3.7216,,,6.8139,-2.1821,-2.1821,100.0,100.0,82.0,59.09,64.0,57.0,62.0,68.0,49.18,65.0,13.3,3.67,True,False,10.0,0.0,79.78,15.0,3,T+3_ok,,,,87.0,,,,,ok,68.9,69.14,71.41,70.0,68.35,3.26,3.52,1.38,73.19,,82.21,83.88,69.14,77.2,72.83,-5.67,82.21,83.88,1.15,True,True,,momentum,
2026-08-12 18:00:00,20260812,2026-08-12_18-00-00.json,600572,康恩贝,buy_passed,buy,A,96.0,0.5636,2.177,,,,,20260813,4.78,4.68,4.8,,-2.0921,0.4184,,3.9749,-4.6025,-4.6025,76.0,90.24,82.0,59.09,60.0,56.8,62.0,68.0,56.34,65.0,9.5,9.95,True,False,10.0,0.0,83.18,15.0,3,T+3_ok,,,,96.0,,,,,ok,70.8,4.37,4.41,4.37,4.33,3.78,3.99,1.31,4.28,,4.95,5.01,4.37,4.75,4.26,-10.35,4.95,5.01,0.4,False,False,"['rr_below_1.0', 'rsi_above_70.0']",momentum,
2026-08-12 18:00:00,20260812,2026-08-12_18-00-00.json,603198,迎驾贡酒,watch,watch,,95.0,0.536,2.086,,,,,20260813,41.94,41.86,39.4,,-0.1907,-6.0563,,2.5036,-7.8207,-7.8207,76.0,100.0,82.0,60.41,60.0,57.0,62.0,68.0,57.04,65.0,13.5,4.17,True,False,10.0,0.0,,,3,T+3_ok,,,,95.0,,,,,ok,74.8,36.93,39.06,38.13,37.03,1.29,1.4,1.06,39.78,,44.62,45.51,36.93,41.93,39.58,-5.6,44.62,45.51,1.14,True,False,"['low_signal_group', 'rsi_above_70.0']",momentum,
2026-08-12 18:00:00,20260812,2026-08-12_18-00-00.json,600216,浙江医药,consensus,,,,,,,,,,20260813,13.75,13.41,13.2,,-2.4727,-4.0,,0.7273,-6.3273,-6.3273,46.0,76.41,82.0,,,,,,,,12.5,9.98,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-13 18:00:00,20260813,2026-08-13_18-00-00.json,300347,泰格医药,buy_passed,buy,A,99.5,0.6004,1.45,,,,,20260814,55.1,56.02,,,1.6697,,,5.2632,-2.9038,-2.9038,46.0,82.33,82.0,51.75,30.0,56.64,62.0,65.0,55.12,65.0,9.1,3.02,True,False,10.0,0.0,84.38,15.0,3,T+3_ok,,,,99.5,,,,,ok,70.5,51.13,53.3,52.28,51.04,1.17,1.2,1.24,49.08,,59.94,61.48,51.13,55.32,48.83,-11.72,59.94,61.48,0.71,False,False,"['rr_below_1.0', 'rsi_above_70.0']",momentum,
