ma_mode,fast_ma,mid_ma,long_ma,use_macd,use_fast_ma_reduce,use_mid_ma_exit,use_atr_trailing,atr_mult,max_holding_days,max_fast_ma_deviation_pct,param_key,engine,trade_count,total_return_pct,avg_trade_return_pct,median_trade_return_pct,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_like
ema,8,20,60,False,True,True,True,2.0,5,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev8,pandas_event,62,-45.2894,-0.8316,-1.277,27.42,0.6368,-64.1603,-1.0992
ema,8,20,60,True,True,True,False,1.5,5,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h5_dev8,pandas_event,60,-45.4007,-0.8549,-1.5166,30.0,0.6434,-64.7899,-1.0861
ema,8,20,60,True,True,True,True,2.0,5,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h5_dev8,pandas_event,60,-45.4007,-0.8549,-1.5166,30.0,0.6434,-64.7899,-1.0861
ema,8,20,60,False,True,True,True,1.5,10,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,53,-42.8049,-0.9186,-1.3115,28.3,0.6096,-59.4866,-0.8778
ema,8,20,60,True,True,True,True,1.5,10,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,52,-43.4056,-0.9562,-1.6439,30.77,0.6073,-59.9479,-0.9045
ema,8,20,60,False,True,True,False,1.5,10,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev8,pandas_event,53,-45.4527,-0.9946,-1.5176,28.3,0.6039,-62.9075,-0.9088
ema,8,20,60,False,True,True,True,2.0,10,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev8,pandas_event,53,-45.4527,-0.9946,-1.5176,28.3,0.6039,-62.9075,-0.9088
ema,10,20,60,True,True,True,False,1.5,5,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h5_dev8,pandas_event,54,-45.8237,-1.0261,-1.4686,31.48,0.5522,-53.8867,-1.5949
ema,10,20,60,True,True,True,True,2.0,5,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h5_dev8,pandas_event,54,-45.8237,-1.0261,-1.4686,31.48,0.5522,-53.8867,-1.5949
ema,10,20,60,True,True,True,True,1.5,5,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,54,-46.546,-1.0498,-1.4686,31.48,0.5465,-54.5016,-1.6249
ema,10,20,60,False,True,True,False,1.5,5,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev8,pandas_event,56,-48.6168,-1.0833,-1.277,28.57,0.5218,-56.2641,-1.7164
ema,10,20,60,False,True,True,True,2.0,5,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev8,pandas_event,56,-48.6168,-1.0833,-1.277,28.57,0.5218,-56.2641,-1.7164
ema,10,20,60,False,True,True,True,1.5,5,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,56,-49.3019,-1.1062,-1.277,28.57,0.5166,-56.8473,-1.7454
ema,8,20,60,True,True,True,False,1.5,10,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h10_dev8,pandas_event,52,-48.8891,-1.1412,-1.676,28.85,0.5637,-64.0152,-1.046
ema,8,20,60,True,True,True,True,2.0,10,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h10_dev8,pandas_event,52,-48.8891,-1.1412,-1.676,28.85,0.5637,-64.0152,-1.046
ema,10,20,60,False,True,True,True,1.5,10,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,49,-54.6802,-1.5068,-1.4737,24.49,0.4102,-59.2328,-1.7236
ema,10,20,60,False,True,True,False,1.5,10,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev8,pandas_event,49,-55.6903,-1.5439,-1.4737,26.53,0.415,-61.044,-1.6984
ema,10,20,60,False,True,True,True,2.0,10,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev8,pandas_event,49,-55.6903,-1.5439,-1.4737,26.53,0.415,-61.044,-1.6984
ema,10,20,60,True,True,True,True,1.5,10,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,48,-55.7147,-1.5859,-1.646,25.0,0.4028,-60.1634,-1.8011
ema,10,20,60,True,True,True,False,1.5,10,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h10_dev8,pandas_event,48,-59.0591,-1.7403,-1.6997,25.0,0.3807,-63.1718,-1.9171
ema,10,20,60,True,True,True,True,2.0,10,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h10_dev8,pandas_event,48,-59.0591,-1.7403,-1.6997,25.0,0.3807,-63.1718,-1.9171
