trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300394,天孚通信,buy_passed,buy,A,99.5,0.5636,1.549,,,,,20260623,326.12,311.06,341.97,295.15,-4.6179,4.8602,-9.4965,6.0959,-11.4252,-11.4252,100.0,100.0,58.0,60.0,60.0,54.48,62.0,65.0,56.34,55.0,3.7,-3.11,True,False,0.0,0.0,82.34,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300308,中际旭创,buy_passed,buy,A,91.0,0.6556,1.775,,,,,20260623,1395.0,1310.01,1323.4,1220.0,-6.0925,-5.1326,-12.5448,0.0,-16.1656,-16.1656,100.0,100.0,74.0,60.0,60.0,57.0,62.0,65.0,52.82,55.0,15.2,1.06,True,False,0.0,0.0,79.96,15.0,91.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300620,光库科技,buy_passed,buy,A,91.0,0.582,1.696,,,,,20260623,388.83,384.52,395.46,365.2,-1.1085,1.7051,-6.0772,6.2932,-9.4514,-9.4514,100.0,100.0,74.0,60.0,72.0,57.0,62.0,65.0,52.58,55.0,24.0,0.3,True,False,0.0,0.0,78.33,15.0,91.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,688143,长盈通,watch,watch,,91.0,0.6004,1.572,,,,,20260623,227.95,225.95,240.65,179.95,-0.8774,5.5714,-21.0572,11.8447,-24.5668,-24.5668,100.0,100.0,74.0,60.0,60.0,57.0,62.0,65.0,55.12,55.0,27.7,15.23,True,False,0.0,0.0,,,91.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300308,中际旭创,buy_passed,buy,A,99.5,0.6556,1.825,,,,,20260624,1313.61,1312.18,1253.89,1270.0,-0.1089,-4.5463,-3.3199,2.3964,-10.9713,-10.9713,100.0,100.0,74.0,60.0,60.0,56.28,62.0,65.0,55.52,60.0,8.2,-5.23,True,False,0.0,0.0,85.49,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,000831,中国稀土,buy_passed,buy,A,99.5,0.582,1.841,,,,,20260624,59.13,58.25,54.85,55.46,-1.4882,-7.2383,-6.2067,1.2177,-10.6038,-10.6038,100.0,100.0,82.0,60.0,60.0,56.48,62.0,68.0,52.58,60.0,8.7,-10.0,True,False,0.0,0.0,84.05,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.6924,1.907,,,,,20260624,552.0,555.3,566.0,607.0,0.5978,2.5362,9.9638,11.0254,-5.0326,-5.0326,100.0,100.0,58.0,60.0,60.0,54.28,62.0,65.0,50.7,60.0,3.2,-4.82,True,False,0.0,0.0,86.39,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300620,光库科技,buy_passed,buy,A,95.0,0.6556,1.88,,,,,20260624,385.19,406.0,362.43,378.2,5.4025,-5.9088,-1.8147,7.2977,-8.5958,-8.5958,100.0,100.0,74.0,60.0,64.0,57.0,62.0,65.0,55.52,60.0,19.6,-1.9,True,False,0.0,0.0,83.12,15.0,95.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300394,天孚通信,buy_passed,buy,A,94.5,0.6004,1.509,,,,,20260624,311.05,325.28,318.0,302.68,4.5748,2.2344,-2.6909,11.2361,-7.1339,-7.1339,100.0,100.0,34.0,60.0,60.0,47.0,62.0,65.0,57.82,60.0,-1.5,-4.62,True,False,0.0,0.0,81.0,15.0,94.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,688143,长盈通,buy_passed,buy,A,91.0,0.6004,1.823,,,,,20260624,217.76,236.15,214.95,175.83,8.4451,-1.2904,-19.2551,16.16,-28.3891,-28.3891,100.0,100.0,74.0,60.0,72.0,57.0,62.0,65.0,48.82,60.0,29.2,3.67,True,False,0.0,0.0,79.7,15.0,91.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
