trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300394,天孚通信,watch,watch,,65.39,0.5636,-1.915,-1.915,3.455,8.483,0.407,20260623,326.12,311.06,341.97,295.15,-4.6179,4.8602,-9.4965,6.0959,-11.4252,-11.4252,100.0,100.0,58.0,55.0,69.22,54.48,62.0,65.0,56.34,55.0,3.7,-3.11,True,False,10.0,0.0,,,65.39,78.0,50.0,7.712,5.189,ok,54.7,314.71,319.68,314.88,306.76,1.11,257.77,207.0,351.2,374.5,314.71,326.12,256.48,-21.35,351.2,374.5,0.36,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300308,中际旭创,watch,watch,,62.14,0.6556,0.217,0.217,3.866,6.266,0.617,20260623,1395.0,1310.01,1323.4,1220.0,-6.0925,-5.1326,-12.5448,0.0,-16.1656,-16.1656,100.0,100.0,74.0,55.0,76.0,57.0,62.0,65.0,52.82,55.0,15.2,1.06,True,False,10.0,0.0,,,62.14,86.0,50.0,5.696,4.205,ok,70.5,1194.57,1276.75,1238.75,1188.81,0.92,1025.55,554.0,1500.44,1539.81,1194.57,1382.33,1020.42,-26.18,1500.44,1539.81,0.33,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300620,光库科技,watch,watch,,52.24,0.582,-2.227,-2.227,3.631,10.0,0.363,20260623,388.83,384.52,395.46,365.2,-1.1085,1.7051,-6.0772,6.2932,-9.4514,-9.4514,100.0,100.0,74.0,55.0,63.19,57.0,62.0,65.0,52.58,55.0,24.0,0.3,True,False,10.0,0.0,,,52.24,86.0,50.0,7.723,7.595,ok,71.9,314.65,361.04,343.14,323.98,0.98,245.13,161.3,404.98,452.53,314.65,391.98,243.9,-37.78,404.98,452.53,0.09,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,688143,长盈通,watch,watch,,51.07,0.6004,-2.065,-2.065,3.482,10.0,0.348,20260623,227.95,225.95,240.65,179.95,-0.8774,5.5714,-21.0572,11.8447,-24.5668,-24.5668,100.0,100.0,74.0,48.0,66.0,57.0,62.0,65.0,55.12,55.0,27.7,15.23,True,False,10.0,0.0,,,51.07,44.0,50.0,11.312,7.205,ok,73.0,167.76,190.99,181.61,166.52,0.87,125.47,45.97,254.93,267.26,167.76,217.95,124.84,-42.72,254.93,267.26,0.4,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,000831,中国稀土,buy_passed,buy,B,77.88,0.582,-1.168,-1.168,3.929,7.884,0.498,20260624,59.13,58.25,54.85,55.46,-1.4882,-7.2383,-6.2067,1.2177,-10.6038,-10.6038,100.0,100.0,82.0,55.0,70.0,56.48,62.0,68.0,52.58,60.0,8.7,-10.0,True,False,10.0,0.0,66.14,5.71,77.88,78.0,50.0,7.167,4.601,ok,63.8,56.57,59.77,58.14,56.56,1.53,47.4,45.55,66.05,68.19,56.57,59.64,47.16,-20.92,66.05,68.19,0.51,False,False,['rr_below_1.0'],momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300308,中际旭创,buy_passed,buy,B,71.42,0.6556,0.089,0.089,3.914,6.728,0.582,20260624,1313.61,1312.18,1253.89,1270.0,-0.1089,-4.5463,-3.3199,2.3964,-10.9713,-10.9713,100.0,100.0,74.0,55.0,76.0,56.28,62.0,65.0,55.52,60.0,8.2,-5.23,True,False,10.0,0.0,66.57,7.09,71.42,86.0,50.0,6.116,4.357,ok,59.5,1206.71,1284.14,1248.93,1199.83,0.88,1076.0,554.0,1430.2,1470.26,1206.71,1310.01,1070.62,-18.27,1430.2,1470.26,0.5,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300502,新易盛,watch,buy,C,62.19,0.6924,-0.244,-0.244,3.476,8.095,0.429,20260624,552.0,555.3,566.0,607.0,0.5978,2.5362,9.9638,11.0254,-5.0326,-5.0326,100.0,100.0,58.0,55.0,76.0,54.28,62.0,65.0,50.7,60.0,3.2,-4.82,True,False,10.0,0.0,61.56,0.0,62.19,86.0,50.0,7.359,4.438,ok,53.6,534.26,554.74,544.01,525.13,1.02,467.14,309.79,575.0,583.84,534.26,552.0,464.8,-15.8,575.0,583.84,0.26,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300620,光库科技,watch,watch,,58.12,0.6556,-1.184,-1.184,3.691,10.0,0.369,20260624,385.19,406.0,362.43,378.2,5.4025,-5.9088,-1.8147,7.2977,-8.5958,-8.5958,100.0,100.0,74.0,48.0,77.19,57.0,62.0,65.0,55.52,60.0,19.6,-1.9,True,False,10.0,0.0,,,58.12,86.0,50.0,7.565,7.647,ok,64.4,318.9,366.26,349.05,329.48,0.87,245.13,172.13,404.98,442.7,318.9,384.52,243.9,-36.57,404.98,442.7,0.15,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,688012,中微公司,watch,watch,,50.73,0.5636,-0.798,-0.798,3.777,6.339,0.596,20260624,362.5,383.0,413.0,468.5,5.6552,13.931,29.2414,30.7779,-0.8828,-0.8828,100.0,100.0,72.0,55.0,70.0,57.0,62.0,65.0,56.34,60.0,20.6,-0.27,True,False,10.0,0.0,,,50.73,86.0,50.0,5.536,4.269,ok,81.6,309.58,343.0,329.19,315.31,1.03,261.6,195.96,402.59,412.87,309.58,371.72,260.29,-29.98,402.59,412.87,0.28,False,False,"['low_signal_group', 'rr_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,688143,长盈通,consensus,,,,,,,,,,20260624,217.76,236.15,214.95,175.83,8.4451,-1.2904,-19.2551,16.16,-28.3891,-28.3891,100.0,100.0,74.0,,,,,,,,29.2,3.67,,,,,,,,,,,,ok,70.2,173.53,198.76,187.95,171.92,0.93,125.47,45.97,263.19,275.6,173.53,225.95,124.84,-44.75,263.19,275.6,0.37,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,300394,天孚通信,consensus,,,,,,,,,,20260624,311.05,325.28,318.0,302.68,4.5748,2.2344,-2.6909,11.2361,-7.1339,-7.1339,100.0,100.0,34.0,,,,,,,,-1.5,-4.62,,,,,,,,,,,,ok,46.5,316.91,317.76,314.33,307.15,1.09,302.69,212.51,340.49,351.2,311.06,316.91,301.18,-3.18,340.49,351.2,2.98,True,True,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,000831,中国稀土,buy_passed,buy,B,83.18,0.628,-0.67,-0.67,3.882,7.924,0.49,20260625,57.68,57.61,54.29,53.5,-0.1214,-5.8773,-7.2469,2.2538,-8.3564,-8.3564,100.0,90.48,82.0,55.0,70.0,55.16,62.0,68.0,49.92,60.0,5.4,-2.33,True,False,10.0,0.0,70.97,5.68,83.18,78.0,50.0,7.204,4.647,ok,57.9,56.82,59.43,58.16,56.72,1.36,47.4,45.55,58.97,66.64,56.82,58.25,47.16,-19.03,58.97,66.64,0.06,False,False,['rr_below_1.0'],momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300308,中际旭创,buy_passed,buy,B,74.11,0.7108,0.778,0.778,3.954,6.475,0.611,20260625,1326.0,1323.4,1220.0,1223.17,-0.1961,-7.994,-7.7549,1.4397,-11.8032,-11.8032,100.0,100.0,74.0,55.0,76.0,56.0,62.0,65.0,57.73,60.0,7.5,0.17,True,False,10.0,0.0,70.53,10.55,74.11,86.0,50.0,5.75,4.36,ok,53.4,1215.75,1290.37,1257.97,1210.04,0.9,1085.56,554.0,1416.88,1463.08,1215.75,1312.18,1080.13,-17.68,1416.88,1463.08,0.45,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300394,天孚通信,watch,watch,,55.54,0.6372,-0.704,-0.704,3.576,7.78,0.46,20260625,318.08,341.97,295.15,285.0,7.5107,-7.2089,-10.3999,8.7777,-11.9718,-11.9718,100.0,100.0,58.0,55.0,82.0,47.0,62.0,65.0,50.29,60.0,2.4,4.57,True,False,10.0,0.0,,,55.54,78.0,50.0,6.892,5.239,ok,42.5,318.46,319.43,315.9,308.8,1.04,277.18,212.51,340.49,351.2,318.46,325.28,275.79,-15.21,340.49,351.2,0.31,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300620,光库科技,watch,watch,,52.49,0.6556,-0.883,-0.883,4.15,10.0,0.415,20260625,394.01,395.46,365.2,350.9,0.368,-7.312,-10.9413,0.9974,-12.1824,-12.1824,100.0,100.0,74.0,55.0,84.6,57.0,62.0,65.0,60.02,60.0,23.3,5.59,True,False,10.0,0.0,,,52.49,86.0,50.0,7.126,7.376,ok,65.1,325.04,375.09,357.19,336.44,0.77,245.13,172.13,449.4,463.86,325.04,406.0,243.9,-39.93,449.4,463.86,0.27,False,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300502,新易盛,consensus,,,,,,,,,,20260625,560.0,610.49,556.96,575.56,9.0161,-0.5429,2.7786,10.5125,-6.3893,-6.3893,100.0,100.0,58.0,,,,,,,,3.3,0.6,,,,,,,,,,,,ok,49.4,537.97,554.87,545.62,527.87,1.03,479.12,309.79,575.0,583.84,537.97,555.3,476.72,-14.15,575.0,583.84,0.25,False,False,['rr_below_1.0'],momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,300394,天孚通信,watch,watch,,46.78,0.5636,-1.284,-1.284,4.227,8.035,0.526,20260629,309.0,295.15,285.0,250.1,-4.4822,-7.767,-19.0615,1.6149,-20.4078,-20.4078,100.0,83.49,34.0,91.75,70.0,47.0,62.0,65.0,56.34,45.0,-0.4,-7.01,True,True,10.0,0.0,,,46.78,78.0,50.0,7.202,5.411,ok,48.1,321.08,323.01,319.39,312.37,1.14,306.0,302.69,340.49,351.2,318.0,321.08,304.47,-4.25,340.49,351.2,1.66,True,False,['low_signal_group'],momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,000831,中国稀土,watch,watch,,42.74,0.5636,-1.465,-1.465,4.098,8.284,0.495,20260629,54.87,54.29,53.5,54.45,-1.057,-2.4968,-0.7654,2.6426,-5.8137,-5.8137,100.0,69.36,34.0,95.0,70.0,47.0,62.0,68.0,42.84,45.0,-1.7,-4.79,True,True,10.0,0.0,,,42.74,78.0,50.0,7.531,4.614,ok,50.8,57.14,58.1,57.62,56.62,1.16,47.4,46.68,55.97,58.6,54.85,57.14,47.16,-14.01,55.97,58.6,0.15,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,300308,中际旭创,consensus,,,,,,,,,,20260629,1239.0,1220.0,1223.17,1116.0,-1.5335,-1.2776,-9.9274,6.18,-10.0081,-10.0081,100.0,100.0,58.0,,,,,,,,1.6,-5.25,,,,,,,,,,,,ok,57.1,1231.19,1287.97,1265.4,1223.4,1.02,1093.0,554.0,1320.0,1416.88,1231.19,1253.89,1087.54,-13.27,1320.0,1416.88,0.4,False,False,['rr_below_1.0'],momentum,
