trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,strategy,_eval_error
2026-07-17 18:00:00,20260717,2026-07-17_18-00-00.json,300502,新易盛,watch,watch,,38.69,0.6096,-2.35,-2.35,2.812,10.0,0.281,20260720,512.0,510.0,508.8,476.02,-0.3906,-0.625,-7.0273,8.2812,-7.0312,-7.0312,84.0,53.74,34.0,55.0,70.0,22.9,62.0,65.0,49.18,65.0,-11.4,-11.01,True,False,10.0,0.0,,,38.69,86.0,50.0,9.659,6.137,momentum,
2026-07-17 18:00:00,20260717,2026-07-17_18-00-00.json,688012,中微公司,watch,watch,,26.14,0.6004,-2.297,-2.297,3.096,10.0,0.31,20260720,355.0,342.5,392.99,388.5,-3.5211,10.7014,9.4366,15.2113,-6.2,-6.2,100.0,100.0,30.0,55.0,82.0,18.0,62.0,65.0,57.82,65.0,-14.8,-2.97,True,False,10.0,0.0,,,26.14,86.0,50.0,11.046,5.556,momentum,
2026-07-17 18:00:00,20260717,2026-07-17_18-00-00.json,300308,中际旭创,watch,watch,,24.02,0.628,-1.934,-1.934,2.923,9.702,0.301,20260720,1028.43,1004.0,1060.8,1046.51,-2.3755,3.1475,1.758,10.7397,-5.9071,-5.9071,84.0,30.07,30.0,55.0,74.0,18.0,62.0,65.0,56.22,65.0,-17.5,-12.0,True,False,10.0,0.0,,,24.02,86.0,50.0,8.82,4.614,momentum,
2026-07-17 18:00:00,20260717,2026-07-17_18-00-00.json,000831,中国稀土,watch,watch,,15.18,0.5636,-1.42,-1.42,2.677,6.346,0.422,20260720,45.55,47.17,49.36,47.6,3.5565,8.3644,4.5005,10.4061,-0.5488,-0.5488,24.0,3.1,22.0,55.0,70.0,21.25,62.0,68.0,56.34,65.0,-12.5,0.24,True,False,10.0,0.0,,,15.18,58.0,50.0,5.769,3.816,momentum,
2026-07-20 18:00:00,20260720,2026-07-20_18-00-00.json,688347,华虹宏力,watch,watch,,61.3,0.536,-3.01,-3.01,3.339,10.0,0.334,20260721,338.5,397.78,341.0,308.4,17.5126,0.7386,-8.8922,22.0473,-14.0325,-14.0325,100.0,100.0,58.0,48.0,82.0,47.0,62.0,65.0,50.74,60.0,0.6,7.28,True,False,10.0,0.0,,,61.3,78.0,50.0,11.705,6.357,momentum,
2026-07-20 18:00:00,20260720,2026-07-20_18-00-00.json,300502,新易盛,watch,watch,,44.92,0.6556,-1.614,-1.614,2.949,9.835,0.3,20260721,519.0,551.77,497.3,491.0,6.3141,-4.1811,-5.395,6.8208,-11.4644,-11.4644,84.0,71.3,34.0,52.82,80.0,31.3,62.0,65.0,51.02,60.0,-5.8,5.62,True,False,10.0,0.0,,,44.92,86.0,50.0,8.941,6.291,momentum,
2026-07-20 18:00:00,20260720,2026-07-20_18-00-00.json,300308,中际旭创,watch,watch,,25.56,0.6372,-1.784,-1.784,2.897,9.565,0.303,20260721,1020.01,1136.55,1072.52,1076.94,11.4254,5.148,5.5813,11.6538,-3.0578,-3.0578,84.0,33.28,30.0,55.0,74.0,18.85,62.0,65.0,54.79,60.0,-14.1,2.51,True,False,10.0,0.0,,,25.56,86.0,50.0,8.695,4.666,momentum,
2026-07-20 18:00:00,20260720,2026-07-20_18-00-00.json,000938,紫光股份,consensus,,,,,,,,,,20260721,37.7,41.46,42.45,41.47,9.9735,12.5995,10.0,21.4854,-7.2679,-7.2679,100.0,100.0,82.0,,,,,,,,16.4,7.29,,,,,,,,,,,,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,300502,新易盛,watch,watch,,72.66,0.628,-1.025,-1.025,4.318,9.615,0.449,20260722,540.0,508.8,476.02,406.9,-5.7778,-11.8481,-24.6481,2.1481,-25.2,-25.2,100.0,82.75,58.0,77.0,70.0,47.0,62.0,65.0,60.72,65.0,1.9,8.19,True,False,10.0,0.0,,,72.66,86.0,50.0,8.408,6.475,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,688072,拓荆科技,watch,watch,,60.39,0.6556,-1.601,-1.601,3.055,10.0,0.306,20260722,762.0,791.08,791.0,710.0,3.8163,3.8058,-6.8241,7.5984,-7.6929,-7.6929,100.0,100.0,50.0,48.0,82.0,54.88,62.0,40.0,44.72,65.0,4.7,20.0,True,False,10.0,0.0,,,60.39,86.0,50.0,12.86,6.615,momentum,
