trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,recommended_holding_days,holding_rule,entry_quality_score,crowding_score,entry_quality_delta,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300563,神宇股份,watch,watch,,82.11,0.6004,0.023,,,,,20260625,28.05,26.92,23.66,29.73,-4.0285,-15.6506,5.9893,8.6275,-17.7184,-17.7184,0.0,18.55,50.0,60.0,60.0,34.75,62.0,65.0,53.32,60.0,-3.5,-1.44,True,False,10.0,0.0,,,3,T+3_ok,,,,82.11,,,,,ok,37.2,29.47,28.63,28.82,29.23,0.76,0.74,0.62,26.14,,30.28,31.68,28.05,29.47,26.01,-7.29,30.28,31.68,1.09,True,False,"['low_signal_group', 'volume_ratio_below_1.0']",momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,688787,海天瑞声,consensus,,,,,,,,,,20260625,145.0,140.4,127.55,132.9,-3.1724,-12.0345,-8.3448,1.2897,-14.331,-14.331,70.0,40.45,26.0,,,,,,,,-0.6,-2.29,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-25 18:00:00,20260625,2026-06-25_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.0,0.674,2.969,,,,,20260626,598.0,566.0,607.0,509.0,-5.3512,1.505,-14.8829,3.49,-15.6187,-15.6187,100.0,100.0,82.0,60.0,72.0,75.0,62.0,65.0,56.26,55.0,12.4,9.94,True,False,10.0,0.0,86.18,15.0,3,T+3_ok,,,,99.0,,,,,ok,59.6,543.84,567.23,554.89,535.38,1.63,1.69,1.13,559.66,,674.02,695.2,543.84,610.49,556.86,-8.78,674.02,695.2,1.18,True,True,,momentum,
2026-06-25 18:00:00,20260625,2026-06-25_18-00-00.json,002463,沪电股份,buy_passed,buy,A,99.0,0.628,2.578,,,,,20260626,152.98,147.28,152.8,130.51,-3.726,-0.1177,-14.6882,3.4122,-14.6882,-14.6882,100.0,100.0,82.0,60.0,64.0,57.0,62.0,68.0,56.22,55.0,13.4,8.12,True,False,10.0,0.0,85.26,15.0,3,T+3_ok,,,,99.0,,,,,ok,58.9,136.31,143.81,140.37,135.34,1.22,1.28,0.9,142.2,,170.98,176.31,136.31,154.99,141.48,-8.71,170.98,176.31,1.18,True,True,,momentum,
2026-06-25 18:00:00,20260625,2026-06-25_18-00-00.json,002156,通富微电,buy_passed,buy,A,96.0,0.6004,2.331,,,,,20260626,76.0,71.6,75.87,67.37,-5.7895,-0.1711,-11.3553,3.3947,-12.3684,-12.3684,100.0,100.0,82.0,60.0,64.0,57.0,62.0,68.0,57.82,55.0,17.3,4.25,True,False,10.0,0.0,82.72,15.0,3,T+3_ok,,,,96.0,,,,,ok,57.5,66.95,70.44,68.5,66.56,1.18,1.32,1.16,72.38,,84.6,86.86,66.95,77.81,72.02,-7.45,84.6,86.86,1.17,True,True,,momentum,
2026-06-25 18:00:00,20260625,2026-06-25_18-00-00.json,002384,东山精密,buy_passed,buy,A,96.0,0.582,2.297,,,,,20260626,268.0,260.32,262.35,221.68,-2.8657,-2.1082,-17.2836,1.4478,-17.2836,-17.2836,100.0,100.0,74.0,60.0,64.0,57.0,62.0,68.0,58.88,55.0,18.0,7.26,True,False,10.0,0.0,82.28,15.0,3,T+3_ok,,,,96.0,,,,,ok,62.6,232.41,257.19,248.8,238.66,1.0,1.02,0.89,255.34,,301.38,309.91,232.41,275.8,254.06,-7.88,301.38,309.91,1.18,True,True,,momentum,
2026-06-25 18:00:00,20260625,2026-06-25_18-00-00.json,603690,至纯科技,buy_passed,buy,A,87.0,0.582,2.029,,,,,20260626,34.0,35.49,35.4,35.44,4.3824,4.1176,4.2353,12.3824,-2.8529,-2.8529,70.0,100.0,72.0,60.0,64.0,57.0,62.0,68.0,48.08,55.0,23.6,9.99,True,False,10.0,0.0,76.8,15.0,3,T+3_ok,,,,87.0,,,,,ok,80.5,28.58,30.85,29.87,29.04,1.62,1.75,1.48,32.29,,37.42,38.38,28.58,34.57,32.13,-7.07,37.42,38.38,1.17,True,False,['rsi_above_70.0'],momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,002384,东山精密,buy_passed,buy,A,99.5,0.582,1.511,,,,,20260630,247.54,262.35,221.68,224.46,5.9829,-10.4468,-9.3237,8.4673,-17.5891,-17.5891,100.0,100.0,82.0,60.0,60.0,55.04,62.0,68.0,57.08,65.0,5.1,-4.12,True,False,10.0,0.0,84.14,15.0,3,T+3_ok,,,,99.5,,,,,ok,62.1,235.65,256.04,250.32,241.44,1.03,0.96,0.84,228.28,,275.99,277.6,235.65,249.59,227.14,-8.99,275.99,277.6,1.18,True,True,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,605358,立昂微,buy_passed,buy,A,95.0,0.6004,2.048,,,,,20260630,76.85,77.45,71.71,59.34,0.7807,-6.6884,-22.7846,8.1848,-24.19,-24.19,100.0,100.0,82.0,60.0,34.0,57.0,62.0,68.0,51.52,65.0,16.9,4.68,True,False,10.0,0.0,83.1,15.0,3,T+3_ok,,,,95.0,,,,,ok,68.7,67.79,71.82,69.79,66.71,1.38,1.51,1.12,71.09,,88.3,91.49,67.79,78.74,70.73,-10.17,88.3,91.49,1.19,True,True,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,002281,光迅科技,buy_passed,buy,A,99.5,0.6556,1.377,,,,,20260630,237.11,256.94,218.19,209.03,8.3632,-7.9794,-11.8426,11.7119,-13.4958,-13.4958,100.0,100.0,58.0,52.08,64.0,47.0,62.0,68.0,51.02,65.0,1.9,-1.83,True,False,10.0,0.0,85.34,15.0,3,T+3_ok,,,,99.5,,,,,ok,61.5,230.65,247.49,242.56,233.23,1.0,0.9,0.9,215.75,,246.8,269.59,230.65,235.94,214.67,-9.02,246.8,269.59,0.51,False,False,['rr_below_1.0'],momentum,
