date,code,name,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,volume_ratio,opportunity_rank_score,rsi,ma20_deviation_pct,t3,t5
20260804,603317,天味食品,6.491,3.001,72.0,1.19,,62.3,6.6,-5.34,-3.2
20260804,605098,行动教育,5.807,2.221,76.75,1.43,,68.6,9.2,-5.1,-3.22
20260804,600546,山煤国际,0.322,1.146,63.88,0.95,,50.4,0.4,6.55,7.28
20260804,300408,三环集团,15.687,10.75,68.75,1.15,,53.2,8.7,8.05,10.31
20260804,688777,中控技术,13.366,4.195,74.75,1.27,,53.6,8.6,3.69,-1.02
20260804,300939,秋田微,7.805,4.665,70.62,1.01,,45.2,8.3,13.23,15.14
20260804,603156,养元饮品,15.241,4.956,72.0,1.11,,55.8,12.7,8.65,11.98
20260804,603373,安邦护卫,11.617,2.082,66.5,0.73,,65.9,8.7,3.1,9.24
20260804,600160,巨化股份,6.788,0.363,59.0,0.76,,47.5,1.2,5.41,2.8
20260804,002142,宁波银行,2.968,0.975,55.0,1.03,,49.4,-0.0,0.03,2.13
20260804,300093,金刚光伏,10.59,3.054,71.5,1.16,,61.5,14.9,-2.14,-3.74
20260804,600060,海信视像,8.41,3.675,57.5,1.13,,52.0,0.5,-4.25,0.91
20260804,002350,北京科锐,2.423,1.807,60.5,0.62,,52.6,3.7,8.55,-1.25
20260804,000429,粤高速Ａ,6.914,3.109,57.5,1.15,,55.3,0.1,3.42,-3.2
20260804,688585,上纬新材,9.22,2.171,74.25,1.34,,57.4,16.8,8.75,7.21
20260804,688322,奥比中光-W,4.343,2.994,71.0,1.19,,45.1,5.7,5.55,7.91
20260804,688131,皓元医药,5.661,2.213,63.88,0.86,,40.8,3.9,16.67,17.28
20260804,688105,诺唯赞,18.459,2.906,61.75,0.88,,48.7,4.8,26.82,23.76
20260804,603519,立霸股份,17.608,4.557,61.75,0.97,,56.2,5.7,-0.95,-0.82
20260805,300628,亿联网络,11.697,2.175,79.25,1.18,,65.6,5.7,2.35,-0.38
20260805,603519,立霸股份,16.349,4.487,79.75,1.0,,51.9,4.1,5.56,0.78
20260805,600236,桂冠电力,11.228,2.683,74.25,1.0,,60.0,4.9,-2.51,-5.37
20260805,000423,东阿阿胶,7.073,0.053,81.5,1.22,,64.2,5.3,-0.31,-2.32
20260805,002258,利尔化学,8.554,-2.136,79.0,1.47,,61.3,4.1,-0.89,-2.87
20260805,601000,唐山港,7.187,2.557,81.5,1.34,,69.9,3.9,-2.73,-3.77
