group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,relative_strength_20d_pct,weekly_trend_score,daily_entry_score,quantitative_score,macd
missed,20260618,688138,清溢光电,0.88,6.94,71.5,15.0,1.54,20.338,17.024,100.0,82.0,,1.427
missed,20260623,600497,驰宏锌锗,15.15,11.2,60.7,14.5,1.5,10.0,10.045,100.0,82.0,,0.438
missed,20260626,688291,金橙子,-1.25,-2.12,64.6,13.5,1.7,10.762,11.698,100.0,82.0,,2.14
missed,20260624,003013,地铁设计,-10.24,-10.3,64.4,9.6,1.88,14.413,14.511,100.0,82.0,,0.208
missed,20260625,002203,海亮股份,-4.62,-12.63,64.3,9.8,1.25,26.346,24.066,100.0,82.0,,0.5
missed,20260626,603156,养元饮品,0.43,-5.17,74.6,9.6,1.24,9.267,10.203,100.0,82.0,,0.729
missed,20260624,000519,中兵红箭,-8.74,-5.3,59.0,9.2,1.35,16.658,16.755,100.0,82.0,,0.5
missed,20260629,002768,国恩股份,2.57,6.18,72.4,6.3,1.31,20.337,19.626,100.0,82.0,,0.016
missed,20260626,002768,国恩股份,1.02,6.89,65.8,6.6,1.37,11.111,12.047,100.0,82.0,,0.469
missed,20260629,300077,国民技术,10.84,3.47,69.2,14.6,1.91,19.852,19.141,100.0,82.0,,1.256
missed,20260629,301629,矽电股份,-0.37,-12.64,71.3,9.3,1.31,13.351,12.64,100.0,82.0,,6.356
missed,20260629,603991,领先股份,17.86,19.8,70.4,8.3,1.38,24.161,23.449,100.0,82.0,,2.397
missed,20260629,003031,中瓷电子,-5.99,-10.77,66.4,6.8,1.32,20.423,19.711,100.0,82.0,,3.793
missed,20260629,002741,光华科技,-0.72,-8.61,64.6,7.8,1.22,21.968,21.257,100.0,82.0,,0.117
missed,20260629,688025,杰普特,-12.86,-11.81,66.9,7.9,1.22,14.005,13.294,100.0,82.0,,7.383
missed,20260618,603488,展鹏科技,-12.2,-15.59,66.3,7.6,1.44,19.795,16.481,100.0,82.0,,0.184
missed,20260629,603386,骏亚科技,-0.99,-10.14,64.6,9.7,1.4,28.187,27.476,100.0,82.0,,0.367
missed,20260623,002171,楚江新材,-3.0,-7.37,68.3,11.9,1.57,25.957,26.002,100.0,82.0,,0.532
missed,20260629,002805,丰元股份,5.32,5.74,71.0,9.5,1.43,20.603,19.892,100.0,82.0,,0.808
missed,20260618,603527,众源新材,-10.68,-10.61,60.0,6.7,1.3,18.989,15.676,100.0,82.0,,0.19
missed,20260624,000593,德龙汇能,-17.08,-5.54,64.1,8.6,1.25,16.232,16.329,100.0,82.0,,0.727
missed,20260629,000703,恒逸石化,5.53,6.3,63.5,11.7,1.88,17.096,16.385,100.0,82.0,,0.819
missed,20260618,300554,三超新材,-12.61,-15.84,68.7,8.5,1.2,23.053,19.739,100.0,82.0,,0.185
missed,20260629,688372,伟测科技,1.72,6.81,74.3,8.8,1.43,11.232,10.52,100.0,82.0,,3.491
missed,20260625,605198,安德利,-7.16,-2.96,63.1,6.3,1.37,28.464,26.184,100.0,82.0,,0.157
missed,20260629,000691,亚太实业,0.6,1.55,68.8,9.9,1.27,35.739,35.481,100.0,82.0,,0.266
missed,20260617,600255,鑫科材料,6.51,-6.05,59.6,7.4,1.22,20.386,18.722,100.0,82.0,,0.017
missed,20260618,300488,恒锋工具,-7.28,-6.34,66.7,13.9,1.53,15.834,12.52,100.0,82.0,,1.887
missed,20260629,002668,TCL智家,4.15,2.64,68.5,8.6,1.66,14.133,13.421,100.0,82.0,,0.233
