date,code,name,ret_3d_pct,ret_5d_pct,ma20_deviation_pct,rsi,volume_ratio,opportunity_rank_score,short_score,sector_1d_return,sector_3d_return,sector_5d_return,sector_10d_return,sector_rank,t3,t5
20260618,003026,中晶科技,9.676,6.798,16.2,71.2,1.81,79.57,77.75,2.291,6.356,6.356,6.356,3.0,0.13,4.84
20260618,301468,博盈特焊,-3.779,-5.435,5.9,59.4,1.04,79.37,79.75,,,,,,-0.42,-3.15
20260618,603608,天创时尚,-7.449,0.613,14.4,70.0,1.27,79.27,76.25,,,,,,-7.64,-11.04
20260618,300720,海川智能,11.157,10.464,14.2,70.5,1.3,79.27,76.25,,,,,,1.03,8.58
20260618,300145,南方泵业,19.745,5.421,15.7,68.5,1.7,79.26,77.75,,,,,,-2.24,-8.26
20260618,000070,特发信息,10.207,17.317,12.3,60.6,1.28,79.22,76.25,,,,,,15.08,1.27
20260618,603328,依顿电子,6.397,8.4,14.0,69.8,1.2,79.2,76.25,1.92,6.323,6.323,6.323,6.0,-9.29,-13.96
20260618,603650,彤程新材,6.316,2.613,13.9,69.4,1.39,79.11,76.25,,,,,,15.43,28.3
20260618,300252,金信诺,1.245,6.361,10.2,67.6,1.29,79.08,76.25,,,,,,-2.58,-1.68
20260618,002745,木林森,10.537,22.752,10.3,61.8,1.26,79.08,76.25,,,,,,5.06,11.52
20260618,300557,理工光科,6.032,1.607,12.1,72.9,1.41,78.61,76.25,,,,,,6.24,0.03
20260618,688183,生益电子,4.01,19.232,9.5,50.6,1.03,78.51,77.5,1.92,6.323,6.323,6.323,6.0,-2.41,-5.78
20260618,688600,皖仪科技,15.458,15.195,13.0,67.6,1.2,78.49,76.25,,,,,,0.19,-4.28
20260618,603859,能科科技,2.143,1.946,10.6,68.2,1.42,78.43,76.25,,,,,,-3.85,-11.36
20260618,301588,美新科技,7.425,18.792,9.4,62.8,1.0,78.3,77.0,,,,,,-6.15,1.07
20260618,002669,康达新材,8.907,2.962,8.0,58.8,1.05,78.29,77.5,,,,,,-3.67,-9.3
20260618,603150,万朗磁塑,-0.064,2.815,9.5,71.2,1.02,78.27,77.0,,,,,,-0.21,-4.5
20260618,301238,瑞泰新材,9.528,17.766,8.3,50.4,1.17,78.26,77.5,,,,,,-2.82,-12.27
20260618,000519,中兵红箭,3.992,8.547,5.7,55.4,1.11,78.17,79.75,,,,,,1.13,-4.45
20260618,301041,金百泽,6.955,12.781,9.2,63.9,1.08,78.14,77.0,1.92,6.323,6.323,6.323,6.0,-4.24,-10.28
20260618,002876,三利谱,5.347,8.453,8.1,74.1,1.04,78.13,77.0,,,,,,6.85,3.09
20260618,600366,宁波韵升,12.282,14.806,13.6,74.8,1.89,78.08,77.75,,,,,,-0.13,-7.08
20260618,300548,长芯博创,4.897,25.362,16.9,57.7,1.21,78.06,76.75,,,,,,-5.93,-12.46
20260618,301150,中一科技,23.466,50.506,34.7,74.9,2.04,78.02,77.75,-1.07,-1.358,-1.358,-1.358,58.0,6.09,3.81
20260618,300909,汇创达,13.787,20.311,13.5,70.9,1.21,78.01,76.25,,,,,,5.29,18.42
20260618,688388,嘉元科技,2.365,31.128,31.9,74.4,1.6,77.94,77.75,-1.07,-1.358,-1.358,-1.358,58.0,-4.59,-9.7
20260618,688120,华海清科,13.811,21.484,18.0,72.3,1.36,77.83,76.25,2.291,6.356,6.356,6.356,3.0,5.2,14.36
20260618,605289,罗曼股份,16.827,30.83,21.5,65.8,1.21,77.83,76.25,,,,,,-0.32,1.68
20260618,688359,三孚新科,12.548,20.693,22.2,73.2,1.2,77.83,76.25,,,,,,-9.95,4.86
20260618,688661,和林微纳,20.948,18.769,27.6,69.8,1.28,77.83,76.25,2.291,6.356,6.356,6.356,3.0,-2.85,-4.45
20260618,688416,恒烁股份,17.91,30.255,19.9,65.8,1.21,77.83,76.25,,,,,,13.47,16.17
20260618,300726,宏达电子,17.953,32.624,25.5,67.3,1.25,77.83,76.25,,,,,,2.31,3.99
20260618,002254,泰和新材,6.979,-1.163,16.5,70.6,1.41,77.83,76.25,,,,,,-0.86,4.59
20260622,002203,海亮股份,7.383,12.264,23.9,70.3,1.82,79.63,77.75,,,,,,-8.59,-17.46
20260622,688733,壹石通,13.374,18.159,19.2,72.2,1.4,77.81,76.25,,,,,,-8.72,-16.65
20260622,603335,迪生力,-6.924,1.863,8.4,58.0,2.07,82.95,81.25,,,,,,13.75,2.88
20260622,601958,金钼股份,5.583,19.705,24.5,72.5,1.93,78.47,77.75,6.644,6.556,6.556,6.556,3.0,-14.62,-6.12
20260622,603979,金诚信,4.371,7.304,4.8,52.7,1.38,81.83,82.0,,,,,,-15.77,-16.83
20260622,688432,有研硅,-0.979,20.716,17.4,72.2,1.42,77.77,76.25,1.206,7.639,7.639,7.639,26.0,4.46,50.43
