date,code,name,quantitative_score,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,long_score,extension_risk,forward_opportunity_score,opportunity_rank_score,room_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,t3,t5,turnover_pct,turnover_5d_avg_pct,turnover_20d_avg_pct,turnover_ratio_5_20,mom_3d_pct,mom_5d_pct,dist_20d_high_pct,dist_60d_high_pct,boll_pct_b,boll_above_pct
20260617,603681,永冠新材,81.12,56.6,8.6,1.28,21.395,52.098,19.732,44.502,28.117,4.819,79.75,78.43,10.0,82.63,81.12,90.0,25.65,37.75,-4.36,-7.28,-9.06,0.1393,0.12503999999999998,0.09778,1.279,5.242,17.993,-8.837,-8.837,0.787,False
20260618,603681,永冠新材,81.97,48.0,2.2,1.34,14.59,44.933,11.276,36.731,21.848,4.469,80.5,78.43,0.0,86.04,81.97,100.0,18.19,30.26,-9.34,-1.63,-9.35,0.1358,0.1371,0.10222,1.341,-9.344,6.18,-13.587,-13.587,0.579,False
20260617,688733,壹石通,81.12,60.2,13.2,1.53,15.418,52.23,13.755,44.634,34.303,4.78,77.75,78.91,10.0,81.6,81.12,90.0,27.07,41.17,0.0,-2.07,-0.1,0.1036,0.10189999999999999,0.06668999999999999,1.528,9.13,10.088,-3.918,-3.918,1.034,True
20260622,688733,壹石通,77.81,72.2,19.2,1.4,28.049,78.31,23.62,63.786,41.261,6.534,76.25,79.42,45.0,70.35,77.81,55.0,34.41,52.09,0.0,-8.72,-16.65,0.12990000000000002,0.10354000000000001,0.07396,1.4,13.374,18.159,-4.249,-4.249,1.096,True
20260623,688733,壹石通,82.73,55.5,5.5,1.41,13.985,53.125,14.03,43.188,26.828,5.713,82.0,78.1,0.0,86.81,82.73,100.0,18.79,35.19,-10.91,-5.1,0.88,0.1244,0.11026,0.07838,1.407,-3.539,-1.953,-14.694,-14.694,0.674,False
20260624,688733,壹石通,81.93,55.3,1.3,1.39,10.795,45.922,10.893,36.984,22.663,5.479,80.5,78.1,0.0,85.99,81.93,100.0,13.79,30.17,-14.03,-6.49,0.0,0.09910000000000001,0.11300000000000002,0.08144,1.388,-11.537,-2.528,-17.679,-17.679,0.544,False
20260617,603527,众源新材,81.11,51.9,7.9,1.29,12.021,27.107,10.358,19.511,21.942,4.367,79.75,78.28,10.0,82.6,81.11,90.0,15.1,26.54,-1.15,-8.39,-3.16,0.0828,0.10500000000000001,0.08165999999999998,1.286,8.13,7.732,-4.691,-4.691,0.934,False
20260618,603527,众源新材,80.84,60.0,6.7,1.3,18.989,41.063,15.676,32.861,21.707,4.354,79.25,78.28,10.0,82.33,80.84,90.0,14.04,26.13,-1.35,-10.68,-10.61,0.0726,0.10776,0.083025,1.298,1.248,9.774,-4.886,-4.886,0.898,False
20260617,603335,迪生力,81.09,64.1,14.0,1.62,17.917,42.45,16.253,34.854,27.784,6.194,77.75,78.67,10.0,81.56,81.09,90.0,20.45,38.12,-4.18,7.0,7.95,0.2108,0.1123,0.069455,1.617,5.466,13.655,-12.923,-12.923,0.918,False
20260618,603335,迪生力,82.66,60.4,9.4,1.83,18.786,47.048,15.472,38.846,23.973,5.978,80.75,78.43,10.0,83.18,82.66,90.0,15.76,33.41,-7.22,0.36,9.71,0.2145,0.14332,0.078455,1.827,-7.223,12.295,-15.692,-15.692,0.78,False
