code,date,entry_delta,entry_quality,crowding,crowding_mean,t3,t5,ret_5d_pct,sector_5d_return
301468,20260618,1.0,62.5,10.0,,-0.42,-3.15,-5.435,
603608,20260618,1.0,62.5,10.0,,-7.64,-11.04,0.613,
300720,20260618,-2.0,55.0,10.0,,1.03,8.58,10.464,
300145,20260618,1.0,62.5,10.0,,-2.24,-8.26,5.421,
70,20260618,-4.0,50.0,10.0,,15.08,1.27,17.317,
603328,20260618,0.0,60.0,30.0,6.323,-9.29,-13.96,8.4,6.323
603650,20260618,1.0,62.5,10.0,,15.43,28.3,2.613,
300252,20260618,1.0,62.5,10.0,,-2.58,-1.68,6.361,
2745,20260618,-8.0,40.0,10.0,,5.06,11.52,22.752,
300557,20260618,1.0,62.5,10.0,,6.24,0.03,1.607,
688183,20260618,-6.0,45.0,30.0,6.323,-2.41,-5.78,19.232,6.323
688600,20260618,-4.0,50.0,10.0,,0.19,-4.28,15.195,
603859,20260618,1.0,62.5,10.0,,-3.85,-11.36,1.946,
301588,20260618,-8.0,40.0,10.0,,-6.15,1.07,18.792,
2669,20260618,1.0,62.5,10.0,,-3.67,-9.3,2.962,
603150,20260618,1.0,62.5,10.0,,-0.21,-4.5,2.815,
301238,20260618,-4.0,50.0,10.0,,-2.82,-12.27,17.766,
519,20260618,-2.0,55.0,10.0,,1.13,-4.45,8.547,
301041,20260618,0.0,60.0,30.0,6.323,-4.24,-10.28,12.781,6.323
2876,20260618,-2.0,55.0,10.0,,6.85,3.09,8.453,
600366,20260618,-2.0,55.0,10.0,,-0.13,-7.08,14.806,
300548,20260618,-6.0,45.0,10.0,,-5.93,-12.46,25.362,
301150,20260618,-8.0,40.0,10.0,-1.358,6.09,3.81,50.506,-1.358
300909,20260618,-8.0,40.0,10.0,,5.29,18.42,20.311,
688388,20260618,-8.0,40.0,10.0,-1.358,-4.59,-9.7,31.128,-1.358
688120,20260618,-6.0,45.0,30.0,6.356,5.2,14.36,21.484,6.356
605289,20260618,-7.0,42.5,10.0,,-0.32,1.68,30.83,
688359,20260618,-9.0,37.5,10.0,,-9.95,4.86,20.693,
